id,text
1,tse ho tsan se kai bing pang ka tik li khuan tsai kan lai u put li e ing hiong
2,ing am gua tsiah kah li i lo
3,ah beh sian po
4,si si giam po so
5,a sui kam mo a a tsok li the i tshing ka
6,an ne la
7,lin kiam bo kong iau u si gi jit tsiu siun kua e si kau ma gua ka lin kong gia ba khuan hng i king sik thang kua la
8,a san a pah meh kue ah
9,kiam pian tsiah kak khan khon ki
10,san si siu o ho ki hi khu
11,ti hia khuan e lang iah si sam samg go oh tshin tshin tsng tsng
12,kunh lai lai lai than si tsiah thai sio tsiah
13,i tsing li tai gi su lui tsong si tse si tua kang ting ma su iau siong se uiu e
14,li tsit e ho men me
15,tsui pu tin lai kong tse tei piau i kiong nie tui khong bi ku ka au tsiu tit tioh sing li
16,ing loh lai e si sim lai kam u buan tsiok e kam kap sing khu na kian liau siun ki
17,hong bun a
18,o to bai si tsian ping siong e kau thong kang khu tsuan tai uan tshue bo lang beh hiau khia o to baie e
19,ka hit tsam p tsit tsun ji tsi ke lua hing ho le
20,ling kua pbuen sit giam tshai iong kan ua e su lui kan ta un toa lui tong su mia su hing ion su ting ting
21,lau hian ti a puan lo to pua loh khi ah li thang tua se sinan
22,m na si lan hian tai tai gi lang oh tha lian the lai ka e pian tsia mah hue hue tsi tsiong iong ji huat siun kue i ua sit tsai pokt kho tshu
23,han i gin a lang u hin bo tshui m hoh o pe mng
24,in na si tong souan ma e pi iau kiu si hian sing lok ti king that ka kih ai kong tse i king si tsit e simg li
25,lan hun san tsiong tsing hing lai tho lun
26,i khi
27,he sing kia tsut khi tan ke ting a
28,u i guan a siu kho ling ti li khong it liong ni tsham suan tsong thong e kiong ho tong jin su
29,le km u ing thang kah gua tau siau ka tsit e lai khi siong su si e e a si t tsit siamng
30,pua ho li long lue la
31,tian tian ok loh ki tshan te
32,u lang te leh bo u lang ti e bo ah
33,tak ke tsiah te ga lai san lau tshut king tua thian pan li ting ki tshiu siok than the hing li thok un
34,tak ke long kau ah lan lai khi thing tshia tiun tsiun tshia
35,li tso ho e phiBt sing kia tsit hun ho gua phin phang tsit e ho bo
36,kuo o a tsit e tuan mng honh koh ka tin khah kua leh
37,ti tioh ka pn tsiah ho liau
38,tsing lang thian han tsing li an ne kong long kuan kin tan thau khuan suan tingn tsit e khuan tak ke sim lai loun pang hon tsit sian gua kho ah suan e tsia tshiun pin u ian kiam tsit puan khi ah
39,tau a ng ng ki
40,in ui bo tshu li ham ho sing e bun te so i e ing hiong tio si giam kiat k e phin tsi
41,tsit e ki hi lang e t St si iong tS ah sit tha ko thon tu tso
42,ai siong sin kta ti it ting phan e tioh lam ping iu
43,u ki hue e ti lak ue te i tsing tat sing hiap i
44,gu kong bua e to bua e la
45,tuan si tai pank hia ni hok tsap li tshu tshu ki ai khah se li lieh
46,an ne tso kam o khe
47,tsan sing tsia o lo i kian bu sit lo suan m koh kiong ho tong ti kok hue ka te tse
48,si tsap si phin sin ho lam ji bo beh tau sen una tsi i ma ma e kam tong
49,kak hue a liu u ian tsiok sui e lio bun long tsio hin sian tsok ka i li lio un tong san khui tshui ka oh loh
50,gua tsit ma kiam tint e a tsiun peh tshu u ng tsiah lai tse ah
51,souo ikgua be ka li ke ka
52,kian bi kok iran kian ua sa udti kho ka ti bi ko tsue ki ka i lan kai sin kuan he i king in hi
53,kau gua tsue Mong tse tsiah khui
54,tsuan tiong long ta bu peh bong bog sian mih long khuan bo
55,o tsiu ko hue ba ti ji khong it ji ni piau kuat tong sing hun ha huat hua e gi te tsain jing phai su kah thang kho
56,gua e sim
57,tshin tshiun tin kue pa po pong ting mi tsui tsiah mi long a iong tsu bi lai tso
58,he he
59,he pean tong tshia honh tsau be tin tang i kai si bo tian na ai ka bat ke li thih tshut lai ktshiong tian tsit e
60,sit tui ang a bo o e si tsing phai e pu lu su thiau ka tsian ho khuan
61,sm bak a ti tsa tsing si sian mih khuan lang leh tsiah 
62,tsian ping khuin mng loh tshia tsin tsing tshian tsu i tshia sian kak gue tai tiong eh phang m thang lam lue phang li
63,li sing kian tshut khi ta kheh ting a
64,han kai tshu hua e tsua ki tha hong te tsong ho sa pun gua king
65,tsit ma ma s kang khuan ma
66,ki tshi tshi tshng tshng teh hau li kam long bo thian e
67,kuan koh gua kue ah thau ken ni si tai a ai e i tso lang tsin ho
68,pio a tha e u kho ling tsiah bean tsin lah
69,a tsi lang khe khih khi khi
70,lai tshiun kua
71,kuan ho ka ki e tai tsi to ho lan bo tsai tiau kuan pat lang e ing a tai
72,lai kai jit tso tsi ah si tse tshai po hing
73,tso tsit kua sin the bo tian e ka i e tai tsi pho pho thn phan tsiong i tsing gik thai sin the giah
74,i tsion luau ka lang kau pue
75,ho i au na si huat sio tshiau kuen ng kang ti ai sui ei kiam tsao
76,e tse a u lang kha tein ue lai uk sian mih tsit ko gue ti Diam lai lu tse si B lu tshiau kue tsit tshing kho to sang ho khang
77,ko lin pi beh ka ui ui khi la
78,ia gam tsioh iu huat tian kin o ph kte ui put po
79,gun ping iu liam mi to be lai ah tsiam ma ha li the gua t kio bi tsit kua mi kian tshian lan tsia
80,pioh it ka mi kah si a thau tsing san tsa tsit pah go pah tsi tshing san tshing go tshing e kiong tong su tso e so liong li tshut lai han lo kah tsuan lo hun khui sng thai tho lun tsit e su tso ti emhi kah sCan ng e thong ke pio long u tshut hian
81,henh siu lang beh sue si m
82,shau lo si tian h e kahk ktha
83,khian
84,ping siong si khang khue tso kah puan me tsiah png kuain si na phue tian na
85,tuo tsit khuan se thau tsui siong thean jian lai bean ng kuan tng khi tshi khuan mai
86,hun be put tshin gun tsa bo kian na u ban it huan li pe iong sian mih lai piue gua
87,li kian lo na kuain kua i kam si khi uai ti
88,o ba sang li ho li beh ai e mi kian ti tsia
89,tin tshiun han lo po hun e ong lai am kue tsu pun ing kai si tsit e su
90,a an Bi a huat ke kai khiam
91,lan kin ai tsiah png lah
92,li iong i e kua sian kah hia na bi miau e suan lut ka ping an ham hing hok thuan tak tshut khi
93,iaun m koh Pai uan tean ian si gua e sem mia bo lun an tsuan gua ing uan long be hong khi
94,siong gue hi pin sua hi e thau tsing tsit puan si ji khong khong pan ni siah e tu tu si to tng tshut pan hi tsit tang
95,li tsa tkhi si a pin kuan khi ai khi hue
96,ei tsin kuai leh tue lang tsau ah
97,na tshuan khui e hin tong lin si he ki
98,thu la e khang khue tak tap ti ti tak hang long a gua tso na tso li a
99,li he lo ka su koahm u kuan u ka su pi tsau tshut lai
100,gua la khi tean ian
101,bo lun lu ho li gua i king tsit tui ho tsing khuan
