id,text
1,tse ho tsan se kai bing pang kah ti lin khuan tsai kan lai u put li e ing hiong
2,ing am gua siah kah li la lo
3,ah beh sian po
4,si si giam po so
5,ah sui kam muo pa tho li the i tshing kah
6,an ne lah
7,li kiam bo kong iau u si gi jit tsiu siu kua e si kau ma gu ka lin kong gia bak khuan hng i king sik thang kua la
8,ah san a pah mi kue ah
9,kiam pin tsia kah khong kho ki
10,san si siu o ho ki ki khu
11,ti hia khuan e lang iah si sam sam gong o tshin tshin tsng tsn
12,honh lai lai lai than si tsiah thain si tsiah
13,i tsing li tai gi su lui tsong si tse si tua kang ting ma su iau siong se e kui ue
14,li tsit e ho me me
15,tui pu tin lai kong tse ta pianu i kiong ngie tui khong bi ko ka au tsiu tit tioh sing li
16,sing loh lai e si sim lai kam u bun tsiok e kam kak sing khu na kian liau siun ki
17,hong mun a
18,o toh bai si tsian ping siong e kau thong kang khu tsuan tai uan tshue bo lang be hiau khia o to bai e
19,kah hit tsam ti tsit tsun ji tsi ke loua hing ho le
20,ling gua pun sit kgiam tshai iong kan hua e su lui kan ta hgun tua lui tong su mia su hing iong s ting tin
21,lau hian ti a puan lo to puan loh khi a lin thang tua se sin an
22,m na si lan hian tai tai gi lano tha lihan the lai kai e pian tsia ma hue hue tsit tsiong iong ji huat siun kue i uat si tsai put ho tshu
23,hanhigin a lang u hin bo tsuhui m ho o pehn mng
24,in a si tong suan ma e pi iau kiu sit hian sing lok tui kin tshat kai kik lai kong tse i king si tsit e sing li
25,lan hun san tsiong tsing hing lai tho lun
26,ip khi
27,hi sing kian tshut khi tan ke ting a
28,u i guan ah si kho ling ti li khong it liong ni tsham suan tsong thong e kiong ho tong jin su
29,li kam u ing thang ka gua tau siau kai tsit e lai khi siong su si e e a si to tsit siang
30,gua ho li long bue lah
31,tian tia loh lo khit tshan te
32,ku lang ti leh bo u lang ti leh bo ah
33,tak ke tsiah te ua lai san lau tshut king tua thian an li ting ki tshiu siok than the hing li thok un
34,tak ke long kau ah lan lai khi thing tshia tin tsiun tshia
35,li tso ho e pi bT sing kiah tsit hun ho gua phin phan tsit e ho bo
36,ho o a tsit e tuan mang honh koh ka tin khahk kuan le
37,ti tioh ka png tsiah ho liau
38,tsing lang thian khan tsing li an ne kong long kuan kin tan thau khuan suan tin tsit e khuan tak ke sim lai long am hon tsi sian gua kho ah suan e tsiahn tshiun ping u ian kiam tsit puan khi ah
39,kau a an ki
40,in ui bo tshu li ham ho sing e bun te so i e ing hiong tioh si giam kiat ko e pn tsi
41,tsit e ki Chi lang e ti t S si iong ct NS ah si tha kho thuln tho tso
42,ai siong sin ka ti it ting phan e tioh lan ping iu
43,u ki hue e ti lak ue te i tsing tat sing hiap gi
44,gua kong bua e to bua e la
45,suan si pai pak hiah ni hok tsap li tshu tshu kio ai khah se lih le
46,an ne tso kam po khe
47,tsan sing tsia o lo i kian bu sit lo suan m koh kiong ho tong ti kok hue ka te tse
48,si tsap si phin sin ho lam ji bo be tau sen un tsi it ma ma e kam tong
49,kak hue a lio u ian tsiok sui e lioh bun long tsiok him sinan tsiok ka e i li lio un tong san khui tshui ka lo
50,gua tsit ma tiam tit leh a tsiun pehe tshu u ng tsiah lai tse lah
51,tso i gua be kahtli ke ka
52,kian bi kok i mran kian ua sau u di kho ka ti bi ko tsue kin ka itlan kai sen kuan he i king in hi
53,ka gua tse long tse tsiah khui
54,shuan ting long ta bu peh bong bong sian mih long khuanh bo
55,o tsiu kok hue baht ti ji khong it ji ni iau kuait tong sing hun ha huat hua egi te tsan jing phai su kah thng kho
56,gua ei sim
57,tshin tshiun tin kue pa po png ting mi tsue tsiah mi long au iong tsut bi lai tso
58,he heh
59,he tean tong tshia honh tsau be tin tang in tai si bo tian a ai ka bat te lih theh tshut lai tshiong tean tsit 
60,it tui ang a bo oh e si tsing phai e pu lu su thiau ka tsian ho khuan
61,sat bak a ti tsa tsing si sian mih khuan lang lih tsiah
62,tsian ping khui man loh tshia tsin tsing tshian tsu i tshia sian kau gue tai tiong ne phang m thang lak bue phang li
63,li sing kian tsut khi tan khe ting a
64,han kai tshu hua e tsuain ki than hong te tsong pho sa pun guan king
65,tsit ma ma si kang khuan ma
66,i tshi tshi tshng tshong teh hau li kam long bo thian e
67,huan ko gua gue ah thau kean niu si tai pa ai e i tso lang tsin ho
68,pio ah tha e u kho lihng tsia bean tsin e lah
69,a tsi lang kheh khih khi khi
70,lai tshiun kua
71,guan ho ka ki e tai tsi to ho lan bo tsai tiau kuan pat lang e ing a tai
72,lai kai jip tso tsi ah si tse tshai po hing
73,tso tsit kua sin the bo tian e kah i e tai tsi pho pho than than tsiong i tsing gik khai sin the gia
74,i tsiong lau ka lang kau pue e
75,tho i au na si hua sio tshiau kuen ng kang tioh ai suit lei kiam tsaoh
76,e tse a u lang kha tin ue lai kog sian mih tsit ko gue ti tiam lai lu tse si B lu tshiau kue tsit tshing kho to sang ho khahn
77,ho lin pe beh kah ui ui khi lai
78,ia kgam tsio iu huat tean kin oOpi C te ui put po
79,gun ping iou liam mih toh beh lai a tsia ma hua li the guat kio bi tsit kua mih kian tshian lang tsiah
80,Bio it ta mi ka si thau tsing san tsap tsit pa go pah tsit tshing san tshing go tshing e kiong tong su tso e so liong lih tshut lai han lo kah tsuan lo hun khui sng thai tho lun tsit e su tso ti m i kah s Rn ng e thong ke pio long u tshut ha
81,henh siu lang beh sue sim
82,thau lo si tian hn geh kah tha
83,khian
84,ping siong si khang khue tso kah puan me tsiah png kuan si la phue tian nu
85,to tsit khuan sia thau tsui siong thean jin lai bean ng kuan tng khi tshi khuan mai
86,hun be put tshin gun tsa bo kian na u ban it phuan li leh iok sian mih lai pue gua
87,li kian lo nai kuain kuai kam si khi uai ti
88,po ba sang li ho li beh ai e mih kian tit tsia
89,tin tshiun han lo po hun e ong lai a kue tsu pun ing kai si tsit e su
90,a an pi a huat ke kai khiam
91,lan kin ai tsiah png la
92,li iong i e kua sian kah hian la bi miau e suan lut ka ping an ham hing hok thuan tak tshut khi
93,iau m koh tai uan tian ian si gua e sen mia bo lun an tsuan guae ing uan long be hong khi
94,siong ue hit phin suah hi e thau tsing tsit puan si ji khong khong pan ni siah a e tu tu si tol tng tshut pan hit tsit tang
95,li tsa khi si ah pin ta khi laei khi hue
96,hehi i tsin kuai le tue lang tsau ah
97,na tshuan khui en hiun tong lian si he kun
98,thu la e khang khue tap tap ti tih tak hang long a gua tso na tso e li a
99,le he lo ga su kom u kuan e u ka suh bi tsau tshut lai
100,huan le khi tian ian
101,bo lun lu ho li gua i king tsit tui ho tsing thun
102,lag gua ko san pi giahp e ing gi tsuan iak thang ng ni
103,i k ia e mih kian kai ho tau bean gua ku to tau e ho
104,na bean siong pan to u tsin gua sui si thaul lo
105,eh
106,mng kian kuan ho ho
107,s tso tai gi bun bun ku e hun thia ha sen li iong g hua tshiu pha suin Phi kai tsi gi su tah phue e tsing khahk lu
108,tsui kham be khi le kho ling e ai tau tsit tai phang phu lai phan
109,sit kuan
110,hua tshian
111,ta bong si tshiu na siong sui e si tsun bong tsiong it tshe kho tsog tsit hue bo gua bo li
112,i ka te san liap in ma tsiah tsiah lo khi na tsiah kon a oh lo kong ua h guo tsu tshut si kau tan m ba tsia kue tsih ni phang e in a ne
113,ling gua king ki ing bun e gi liau kho tso tshut lai gi su tah phue kai su in t tsh tsi si tai bing su ta ts kuan su oh loh in ui pin luh tsin kuan tsia e gi su e gi su tahphue fvoh lai t lo tut pi in ma long pai ti tsian thau tsing
114,i kai piak kian siau tai i sing kau ke kinm kong tong ku lo ik e po hian kin ho phan liau lia
115,i si tsit e tsin lau si e sean sin lang
116,lo si li tsi tua kho tai tsiahe ka gua se jsit eh khong kian
117,piau ta ka tie tsu tiun tshu bli ah si kong tsit kua tshiu khue
118,peh pah khong tak phin ia gam tsio iu huat tian kin pek te ui put po
119,sit le oh
